Region,Year,"Food supply (kcal/capita/day) (FAO, 2020)"
Asia,1961,1805
Asia,1962,1867
Asia,1963,1882
Asia,1964,1929
Asia,1965,1963
Asia,1966,1994
Asia,1967,1987
Asia,1968,1978
Asia,1969,1987
Asia,1970,2059
Asia,1971,2023
Asia,1972,2019
Asia,1973,2075
Asia,1974,2048
Asia,1975,2081
Asia,1976,2042
Asia,1977,2102
Asia,1978,2189
Asia,1979,2171
Asia,1980,2187
Asia,1981,2214
Asia,1982,2271
Asia,1983,2354
Asia,1984,2372
Asia,1985,2356
Asia,1986,2359
Asia,1987,2380
Asia,1988,2405
Asia,1989,2436
Asia,1990,2414
Asia,1991,2402
Asia,1992,2433
Asia,1993,2445
Asia,1994,2482
Asia,1995,2527
Asia,1996,2538
Asia,1997,2552
Asia,1998,2566
Asia,1999,2582
Asia,2000,2591
Asia,2001,2578
Asia,2002,2571
Asia,2003,2577
Asia,2004,2587
Asia,2005,2600
Asia,2006,2624
Asia,2007,2667
Asia,2008,2693
Asia,2009,2702
Asia,2010,2736
Asia,2011,2758
Asia,2012,2766
Asia,2013,2779
Australia & New Zealand,1961,3060
Australia & New Zealand,1962,3085
Australia & New Zealand,1963,3128
Australia & New Zealand,1964,3110
Australia & New Zealand,1965,3071
Australia & New Zealand,1966,3151
Australia & New Zealand,1967,3087
Australia & New Zealand,1968,3098
Australia & New Zealand,1969,3100
Australia & New Zealand,1970,3123
Australia & New Zealand,1971,3154
Australia & New Zealand,1972,3190
Australia & New Zealand,1973,3096
Australia & New Zealand,1974,3031
Australia & New Zealand,1975,3100
Australia & New Zealand,1976,3137
Australia & New Zealand,1977,3079
Australia & New Zealand,1978,3040
Australia & New Zealand,1979,3016
Australia & New Zealand,1980,3061
Australia & New Zealand,1981,3068
Australia & New Zealand,1982,3099
Australia & New Zealand,1983,3026
Australia & New Zealand,1984,3080
Australia & New Zealand,1985,3104
Australia & New Zealand,1986,3094
Australia & New Zealand,1987,3119
Australia & New Zealand,1988,3116
Australia & New Zealand,1989,3124
Australia & New Zealand,1990,3188
Australia & New Zealand,1991,3133
