Entity,Code,Year,"Obesity (IHME, 2019)",,,
Asia,,1990,2.45,,,
Asia,,1991,2.52,,,
Asia,,1992,2.62,,,
Asia,,1993,2.73,,,
Asia,,1994,2.84,,,
Asia,,1995,2.95,,,
Asia,,1996,3.08,,,
Asia,,1997,3.2,,,
Asia,,1998,3.32,,,
Asia,,1999,3.47,,,
Asia,,2000,3.62,,,
Asia,,2001,3.76,,,
Asia,,2002,3.95,,,
Asia,,2003,4.14,,,
Asia,,2004,4.28,,,
Asia,,2005,4.48,,,
Asia,,2006,4.67,,,
Asia,,2007,4.88,,,
Asia,,2008,5.07,,,
Asia,,2009,5.33,,,
Asia,,2010,5.54,,,
Asia,,2011,5.76,,,
Asia,,2012,6,,,
Asia,,2013,6.24,,,
Asia,,2014,6.48,,,
Asia,,2015,6.73,,,
Asia,,2016,6.93,,,
Asia,,2017,7.08,,,
Oceania,,1990,6.74,,,
Oceania,,1991,7.1,,,
Oceania,,1992,7.54,,,
Oceania,,1993,7.92,,,
Oceania,,1994,8.3,,,
Oceania,,1995,8.64,,,
Oceania,,1996,8.94,,,
Oceania,,1997,9.25,,,
Oceania,,1998,9.19,,,
Oceania,,1999,9.73,,,
Oceania,,2000,9.93,,,
Oceania,,2001,10.01,,,
Oceania,,2002,10.11,,,
Oceania,,2003,10.23,,,
Oceania,,2004,10.34,,,
Oceania,,2005,10.47,,,
Oceania,,2006,10.46,,,
Oceania,,2007,10.39,,,
Oceania,,2008,10.32,,,
Oceania,,2009,10.18,,,
Oceania,,2010,10.23,,,
Oceania,,2011,10.35,,,
Oceania,,2012,10.43,,,
Oceania,,2013,10.6,,,
Oceania,,2014,10.74,,,
Oceania,,2015,10.91,,,
Oceania,,2016,11.08,,,
Oceania,,2017,11.25,,,
Europe,,1990,10.92,,,
Europe,,1991,11.04,,,
Europe,,1992,11.18,,,
Europe,,1993,11.41,,,
Europe,,1994,11.6,,,
Europe,,1995,11.68,,,
Europe,,1996,11.78,,,
Europe,,1997,11.91,,,
Europe,,1998,12.02,,,
Europe,,1999,12.15,,,
Europe,,2000,12.31,,,
Europe,,2001,12.44,,,
Europe,,2002,12.58,,,
Europe,,2003,12.67,,,
Europe,,2004,12.72,,,
Europe,,2005,12.79,,,
Europe,,2006,12.71,,,
Europe,,2007,12.71,,,
Europe,,2008,12.73,,,
Europe,,2009,12.71,,,
Europe,,2010,12.65,,,
Europe,,2011,12.65,,,
Europe,,2012,12.62,,,
Europe,,2013,12.63,,,
Europe,,2014,12.65,,,
Europe,,2015,12.7,,,
Europe,,2016,12.71,,,
Europe,,2017,12.72,,,
Africa,,1990,2.26,,,
Africa,,1991,2.32,,,
Africa,,1992,2.38,,,
Africa,,1993,2.44,,,
Africa,,1994,2.37,,,
Africa,,1995,2.54,,,
Africa,,1996,2.62,,,
Africa,,1997,2.72,,,
Africa,,1998,2.8,,,
Africa,,1999,2.85,,,
Africa,,2000,2.91,,,
Africa,,2001,3,,,
Africa,,2002,3.05,,,
Africa,,2003,3.12,,,
Africa,,2004,3.18,,,
Africa,,2005,3.26,,,
Africa,,2006,3.36,,,
Africa,,2007,3.44,,,
Africa,,2008,3.56,,,
Africa,,2009,3.7,,,
Africa,,2010,3.85,,,
Africa,,2011,3.98,,,
Africa,,2012,4.18,,,
Africa,,2013,4.34,,,
Africa,,2014,4.53,,,
Africa,,2015,4.77,,,
Africa,,2016,4.99,,,
Africa,,2017,5.17,,,
World,OWID_WRL,1990,4.65,,,
World,OWID_WRL,1991,4.72,,,
World,OWID_WRL,1992,4.85,,,
World,OWID_WRL,1993,5.03,,,
World,OWID_WRL,1994,5.13,,,
World,OWID_WRL,1995,5.27,,,
World,OWID_WRL,1996,5.35,,,
World,OWID_WRL,1997,5.43,,,
World,OWID_WRL,1998,5.53,,,
World,OWID_WRL,1999,5.69,,,
World,OWID_WRL,2000,5.82,,,
World,OWID_WRL,2001,5.95,,,
World,OWID_WRL,2002,6.12,,,
World,OWID_WRL,2003,6.28,,,
World,OWID_WRL,2004,6.36,,,
World,OWID_WRL,2005,6.53,,,
World,OWID_WRL,2006,6.63,,,
World,OWID_WRL,2007,6.77,,,
World,OWID_WRL,2008,6.91,,,
World,OWID_WRL,2009,7.08,,,
World,OWID_WRL,2010,7.19,,,
World,OWID_WRL,2011,7.36,,,
World,OWID_WRL,2012,7.55,,,
World,OWID_WRL,2013,7.74,,,
World,OWID_WRL,2014,7.92,,,
World,OWID_WRL,2015,8.14,,,
World,OWID_WRL,2016,8.31,,,
World,OWID_WRL,2017,8.44,,,
North America,,1990,11.75,,,
North America,,1991,11.79,,,
North America,,1992,11.84,,,
North America,,1993,11.93,,,
North America,,1994,12.02,,,
North America,,1995,12.14,,,
North America,,1996,12.32,,,
North America,,1997,12.52,,,
North America,,1998,12.67,,,
North America,,1999,12.82,,,
North America,,2000,12.94,,,
North America,,2001,13.05,,,
North America,,2002,13.16,,,
North America,,2003,13.26,,,
North America,,2004,13.32,,,
North America,,2005,13.38,,,
North America,,2006,13.44,,,
North America,,2007,13.49,,,
North America,,2008,13.59,,,
North America,,2009,13.68,,,
North America,,2010,13.73,,,
North America,,2011,13.78,,,
North America,,2012,13.84,,,
North America,,2013,13.9,,,
North America,,2014,13.97,,,
North America,,2015,14.01,,,
North America,,2016,14.03,,,
North America,,2017,14.08,,,
South America & Caribbean,,1990,7.09,,,
South America & Caribbean,,1991,7.26,,,
South America & Caribbean,,1992,7.53,,,
South America & Caribbean,,1993,7.78,,,
South America & Caribbean,,1994,8.01,,,
South America & Caribbean,,1995,8.24,,,
South America & Caribbean,,1996,8.48,,,
South America & Caribbean,,1997,8.71,,,
South America & Caribbean,,1998,8.95,,,
South America & Caribbean,,1999,9.19,,,
South America & Caribbean,,2000,9.51,,,
South America & Caribbean,,2001,9.73,,,
South America & Caribbean,,2002,9.99,,,
South America & Caribbean,,2003,10.29,,,
South America & Caribbean,,2004,10.51,,,
South America & Caribbean,,2005,10.74,,,
South America & Caribbean,,2006,10.93,,,
South America & Caribbean,,2007,11.12,,,
South America & Caribbean,,2008,11.33,,,
South America & Caribbean,,2009,11.49,,,
South America & Caribbean,,2010,10.85,,,
